광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,AISAC_URL,실제재생초수
에쓰-오일 S-OIL : 구도일캔두잇 문답편,2024-07-30,30.0,수송기기,수송기기부품및용품,수송기기용품,에쓰-오일(S-OIL)(주),주식회사 에이치에스애드,apc,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861096H01_1_24-TH-07-995,15.02
서울시의사회 서울특별시의사회 : 지켜주십시오 A편,2024-07-30,15.0,관공서및단체,단체,민간단체,서울시의사회,주식회사 와이드컴바인,(주)포스트매드맨,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861083H01_1_24-TH-07-974,15.02
넷플릭스서비시스코리아 오징어게임2 : 레이스편,2024-07-30,30.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,넷플릭스서비시스코리아유한회사,(주)제일기획,비주얼인텔리전스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861103H01_1_24-TH-07-986,30.03
미래효자장례타운 아리움 : 지켜드리겠습니다 등록증편,2024-07-30,20.0,서비스,개인서비스,경조서비스,유한회사미래효자장례타운,(주)필애드,(주)이모션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861078H01_1_24-TH-07-976,20.02
산업단지닷컴 평택브레인시티 : 분양 문의편,2024-07-30,15.0,"건설,건재및부동산",부동산임대및매매,건물임대및매매,산업단지닷첨,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861170H01_1_24-HC-07-114,15.02
인터브랜드 라이나 : 집중편,2024-07-30,15.0,"금융,보험및증권",금융및보험,금융및보험제품종합,인터브랜드(주),(주)나스미디어,브라보,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861155H01_1_24-TJ-07-023,15.02
아모레퍼시픽 설화수 자음생크림 : 완성하다편,2024-07-30,15.0,화장품및보건용품,여성기초화장품,여성일반기초화장품,(주)아모레퍼시픽,(주)비비디오코리아,(주)비비디오코리아,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861289H01_1_24-TH-08-034,15.02
AIA생명보험 AIA건강암보험 : 다이얼서큘레이터편,2024-07-30,60.0,"금융,보험및증권",금융및보험,생명보험,AIA생명보험,,,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861130H01_1_24-HC-07-109,60.06
아카데미과학 포켓몬 LCD게임 몬스터볼 : 잡자편,2024-07-30,15.0,가정용품,완구류,일반완구,(주)아카데미과학,(주)파인애드컴,프로덕션디젤,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861106H01_1_24-TH-07-982,15.02
이베스트투자증권 LS증권 : 잘 가시게편,2024-07-30,15.0,"금융,보험및증권",주식및유가증권,주식증권,이베스트투자증권(주),주식회사 에이치에스애드,(주)에이치에스애드,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861168H01_1_24-TJ-07-036,15.02
넷플릭스  오징어게임2 : 레이스편,2024-07-30,15.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,넷플릭스서비시스코리아유한회사,(주)제일기획,비주얼인텔리전스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861103H01_1_24-TH-07-986,30.03
한국타이어앤테크놀로지 티스테이션 : 스마트페이편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861143H01_1_24-TJ-07-012,15.02
메이푸드 : 특허기술편,2024-07-30,20.0,음료및기호식품,비알콜음료,기능성건강음료,메이푸드,(주)부산프로덕션,(주)부산프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861101H01_1_24-TH-07-988,20.02
한국타이어앤테크놀로지 티스테이션 : 픽업 앤 딜리버리편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,한국타이어앤테크놀로지(주),(주)이노션,크리에이티브멋,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861139H01_1_24-TJ-07-013,15.02
사회복지공동모금회 사랑의열매 : 폼 나는 나눔플랫폼편,2024-07-30,15.0,교육및복지후생,복지후생기관,복지후생기관제품종합,사회복지법인사회복지공동모금회,한국언론진흥재단,(주)애드리치,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861074H01_1_24-TH-07-980,15.02
링티 : 어린이집편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,주식회사링티,(주)애드쿠아인터렉티브,(주)애드쿠아인터렉티브,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861110H01_1_24-TJ-07-002,15.02
케이티 KT 로밍  : 함께 쓰는 로밍편,2024-07-30,30.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/861102H01_1_24-TH-07-985,30.03
