광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류
광주광역시도시공사 스마트시티 : 삶에 스며들다편,2024-01-05,20.0,관공서및단체,중앙및지방관공서,중앙및지방관공서기타
경기도청 경기북부특별자치도 : 못편,2024-01-05,30.0,관공서및단체,중앙및지방관공서,지방자치단체
경기도청 경기북부특별자치도 : 못편,2024-01-05,30.0,관공서및단체,중앙및지방관공서,지방자치단체
엘지전자 LG gram Pro : 프로의 세계 가볍게 평졍편,2024-01-05,30.0,컴퓨터및정보통신,컴퓨터,노트북PC
엘지전자 LG gram Pro : 프로의 세계 가볍게 평졍편,2024-01-05,30.0,컴퓨터및정보통신,컴퓨터,노트북PC
샤넬코리아 향수 : Chance편,2024-01-05,30.0,화장품및보건용품,방향화장품,성인용향수
"열심히 모션필로우 : 1,000만원 이벤트편",2024-01-05,30.0,가정용품,가정용품기타,가정용품기타
다이슨코리아 공기청정기 : 빅 콰이엇편,2024-01-05,15.0,가정용전기전자,냉방및공기청정기,공기청정기
SM그룹 분양 안내 : 경남아너스빌공주월송지구편,2024-01-05,30.0,"건설,건재및부동산",건설,건설
으뜸애드 백년돌침대 : 공장 대 방출편,2024-01-05,40.0,가정용품,가구류,침대
경기북부특별자치도 : 못편 ver.2,2024-01-05,30.0,관공서및단체,중앙및지방관공서,지방자치단체
아큐브 콘택트렌즈 : 오아시스 아시안핏 수정,2024-01-05,15.0,정밀기기및사무기기,이광학기기,안경및콘택트렌즈
백년돌침대 : 사미자 30초,2024-01-05,30.0,가정용품,가구류,침대
LG 노트북 : gram Pro 0104,2024-01-05,30.0,컴퓨터및정보통신,컴퓨터,노트북PC
LG 노트북 : gram Pro 0105,2024-01-05,30.0,컴퓨터및정보통신,컴퓨터,노트북PC
경기북부특별자치도 : 못편 ver.1,2024-01-05,30.0,관공서및단체,중앙및지방관공서,지방자치단체
전주 물류창고 보관상품 대처분 : 이상용 편,2024-01-05,30.0,패션,캐주얼의류,캐주얼의류제품종합
경남대학교 : 강력한 힘,2024-01-05,20.0,교육및복지후생,교육기관,대학대학원
자코모 프리미엄 소파 : 현빈 압도적 기준 30초,2024-01-05,30.0,가정용품,가구류,가정용가구
유니버설픽쳐스 인투 더 월드 : 절찬상영중편,2024-01-04,15.0,서비스,문화및공연,영화
유니버설픽쳐스 인투 더 월드 : 절찬상영중편,2024-01-04,15.0,서비스,문화및공연,영화
넷플릭스 황야 : 사냥꾼 마동석편,2024-01-04,15.0,서비스,문화및공연,문화및공연기타
넷플릭스 황야 : 사냥꾼 마동석편,2024-01-04,15.0,서비스,문화및공연,문화및공연기타
오비맥주 카스 : 축배편,2024-01-04,15.0,음료및기호식품,알콜음료,맥주
요기요 : 요기패스X 중복할인,2024-01-04,15.0,서비스,서비스기타,서비스기타
엘지전자 LG gram Pro :  압도적 성능에 그램적 가벼움편,2024-01-04,30.0,컴퓨터및정보통신,컴퓨터,노트북PC
"열심히 모션필로우 : 1,000만원 이벤트편",2024-01-04,30.0,가정용품,가정용품기타,가정용품기타
노랑푸드 열불 품은 3종 치킨 : 세개 통일편,2024-01-04,15.0,식품,식품기타,식품기타
경남기업 천안역 경남아너스빌 어반하이츠 : 2월 오픈예정편,2024-01-04,30.0,"건설,건재및부동산",부동산임대및매매,아파트임대및매매
유니버설픽쳐스 인투 더 월드 : 절찬상영중편,2024-01-04,15.0,서비스,문화및공연,영화
청년들 꽃집청년들 : T에게 꽃이란편,2024-01-04,15.0,유통,특수유통,특수유통기타
금남새마을금고 기업PR : 우리 지역의 든든한 금융기관편,2024-01-04,20.0,"금융,보험및증권",금융및보험,은행
어댑트 맨올로지 컷 : 핏이 좋아져 무상환불편,2024-01-04,15.0,식품,건강식품,다이어트식품
어댑트 푸드올로지 : 힘들었죠편,2024-01-04,15.0,식품,건강식품,다이어트식품
월드쇼마켓 디즈니 프린세스 콘서트 : 마법 같은 시간편,2024-01-04,15.0,서비스,문화및공연,공연
코웨이 노블콜렉션 : 완성하다편,2024-01-04,15.0,가정용전기전자,가사용전기전자,가사용전기전자제품종합
광동제약 광동경옥고 : 백종원은편,2024-01-04,15.0,제약및의료,대사성의약,자양강장제
오비맥주 카스 : 축배편,2024-01-04,30.0,음료및기호식품,알콜음료,맥주
유니버설픽쳐스인터내셔널코리아 인투더월드 : 절찬상영중편,2024-01-04,15.0,서비스,문화및공연,영화
어댑트 푸드올로지 : 파란통편,2024-01-04,15.0,식품,건강식품,다이어트식품
유니버설픽쳐스인터내셔널코리아 인투더월드 : 절찬상영중 비행편,2024-01-04,15.0,서비스,문화및공연,영화
농심 신라면 : 인생되길편,2024-01-04,30.0,식품,면류,봉지인스턴트면류
한국청정음료 몽베스트블랜딩하우스 : 나에게 주는 선물 같은 시간편,2024-01-04,30.0,음료및기호식품,음료및기호식품기타,음료및기호식품제품종합
농심 신라면 : 2024 신년편,2024-01-04,30.0,식품,면류,봉지인스턴트면류
대한민국족구협회 pr : 100만 족구인편,2024-01-04,20.0,관공서및단체,단체,단체기타
어댑트 푸드올로지 : 택연봉선 결합편,2024-01-04,15.0,식품,건강식품,다이어트식품
엘지전자 LG gram Pro : 프로의 세계 가볍게 평졍편,2024-01-04,30.0,컴퓨터및정보통신,컴퓨터,노트북PC
한국청정음료 몽베스트블랜딩하우스 : 나에게 주는 선물 같은 시간편,2024-01-04,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품제품종합
아르떼미디어 농산물직거래장터 : 2024 대구역편,2024-01-04,30.0,유통,유통기타,유통기타
유니버설픽쳐스인터내셔널코리아 상영안내 : 인투더월드편,2024-01-04,15.0,서비스,문화및공연,영화
꽃집청년들 꽃배달서비스 : MBTI편,2024-01-04,30.0,유통,특수유통,전자상거래
타이어뱅크 : 출산장려 캠페인,2024-01-04,15.0,유통,대형유통,할인양판점
카누 커피 : 바리스타 그린,2024-01-03,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타
삼성전자 2024 삼세페 : 싱글편 명패수정,2024-01-03,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
인코미디어넷 :  AXA암보험,2024-01-03,60.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권제품종합"
아큐브 콘택트렌즈 : 아시안핏,2024-01-03,15.0,정밀기기및사무기기,이광학기기,안경및콘택트렌즈
어댑트 푸드올로지 : 택연서현 결합형,2024-01-03,15.0,식품,건강식품,다이어트식품
어댑트 푸드올로지 : 서현택연봉선 결합형,2024-01-03,15.0,식품,건강식품,다이어트식품
파나소닉 헤어드라이어 : 나노케어,2024-01-03,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
어댑트 푸드올로지 : 서현시즌2 무상환불,2024-01-03,15.0,식품,건강식품,다이어트식품
동서식품 카누 바리스타 : 겨울편,2024-01-03,30.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타
현대해상화재보험 간편건강보험 : 유병에 맞서는 능력편,2024-01-03,30.0,"금융,보험및증권",금융및보험,손해보험
휴온스 양춘사 : 채수빈의 더블 컷편,2024-01-03,30.0,식품,건강식품,다이어트식품
"어댑트 푸드올로지 ; 서현, 신봉선 다이어트 성공 세트편",2024-01-03,15.0,식품,건강식품,다이어트식품
어댑트 맨올로지 컷 : 핏이 좋아져편,2024-01-03,15.0,식품,건강식품,다이어트식품
현대해상화재보험 현대해상 간편건강보험 : 능력을편,2024-01-03,15.0,"금융,보험및증권",금융및보험,손해보험
월트디즈니컴퍼니코리아 킬러들의쇼핑몰 : 단독 공개편,2024-01-03,15.0,서비스,문화및공연,영화
한국청정음료 몽베스트블랜딩하우스 : 선물 같은 시간편,2024-01-03,30.0,음료및기호식품,음료및기호식품기타,음료및기호식품제품종합
한국청정음료 몽베스트 블랜딩 하우스 : 선물 같은 시간편,2024-01-03,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품제품종합
휴온스 양춘사 : 채수빈의 더블 컷편,2024-01-03,15.0,식품,건강식품,다이어트식품
문화체육관광부 강원 동계청소년올림픽대회 : 행사 홍보편,2024-01-03,40.0,관공서및단체,관공서및단체기타,관공서및단체기업PR
국제구조위원회 긴급후원문의 : 겨울편,2024-01-03,60.0,관공서및단체,관공서및단체기타,관공서및단체기업PR
프리드라이프 브랜드PR : 믿을 수 있는 1등 상조편,2024-01-03,60.0,서비스,전문서비스,전문서비스기타
삼성전자 삼세페 : 기다려 수정편,2024-01-03,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
열심히 모션필로우 : 쿨잠 SBS편,2024-01-02,30.0,가정용품,가정용품기타,가정용품기타
2024강원동계청소년올림픽대회조직위원회 강원 동계청소년올림픽대회 : 이어집니다편,2024-01-02,15.0,서비스,서비스기타,서비스기타
경남대학교 : 경남의 힘 24년 정시원서편,2024-01-02,20.0,교육및복지후생,교육기관,대학대학원
아트리움시티 창원 아트리움시티 : 분양문의편,2024-01-02,15.0,"건설,건재및부동산",부동산임대및매매,부동산임대및매매기타
아트리움시티 창원 아트리움시티 : 분양문의편,2024-01-02,20.0,"건설,건재및부동산",부동산임대및매매,부동산임대및매매기타
PepsiCo Inc. 게토레이 : 나의 위대함편,2024-01-02,15.0,음료및기호식품,비알콜음료,스포츠음료
일우전자 리바핏  : 따뜻한 초음파편,2024-01-02,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
장스푸드 하하핫치킨 : 나왔다편,2023-12-29,30.0,식품,축산품,치킨가공품
장스푸드 스텔라떡볶이 : 튀김라볶 반복편,2023-12-29,30.0,식품,식품기타,식품기타
장스푸드 스텔라떡볶이 : 별튀김 반복편,2023-12-29,15.0,식품,축산품,치킨가공품
장스푸드 하하핫치킨 : 나왔다편,2023-12-29,30.0,식품,축산품,치킨가공품
장스푸드 스텔라떡볶이 : 별튀김편,2023-12-29,30.0,식품,식품기타,식품기타
이비에스미디어 부산을숙도 어린이복합문화공간 : 들락날락편,2023-12-29,20.0,교육및복지후생,교육및복지후생기타,교육및복지후생기타
호야 마이오스마트 : 근시진행억제 안경렌즈,2023-12-29,15.0,제약및의료,의료기기,의료기기기타
장스푸드 스텔라떡볶이 : 별튀김편(자막),2023-12-29,15.0,식품,축산품,치킨가공품
"케이티 키즈랜드 : 놀이, 응원자막편",2023-12-29,30.0,컴퓨터및정보통신,통신망,이동통신
장스푸드 스텔라떡볶이 : 반복편(자막),2023-12-29,15.0,식품,식품기타,식품기타
제이커뮤니케이션 베스트샵 :전북특별자치도 출범기념 특별세일편,2023-12-29,20.0,서비스,서비스기타,서비스기타
"미미월드 : 포용메이커, 행사자막편",2023-12-29,15.0,가정용품,완구류,일반완구
케이티 키즈랜드 : 영어편(응원자막),2023-12-29,30.0,컴퓨터및정보통신,통신망,이동통신
장수산업 장수돌침대 : 기본형,2023-12-29,15.0,가정용전기전자,가사용전기전자,가사용전기전자기타
팬스타그룹 : 팬스타크루즈 여행,2023-12-29,20.0,서비스,여행,여행알선
부산어린이복합문화공간 : 을숙도 들락날락,2023-12-29,15.0,교육및복지후생,교육및복지후생기타,교육및복지후생기타
장스푸드 스텔라떡볶이 : 반복편,2023-12-29,30.0,식품,식품기타,식품기타
인코미디어넷 보험주치의 : 중간점검편,2023-12-29,60.0,"금융,보험및증권",금융및보험,금융및보험기타
한국호야렌즈 마이오스마트 : 근시편,2023-12-29,30.0,제약및의료,의료기기,의료기기기타
던롭 골프클럽 : 올뉴 젝시오,2023-12-29,15.0,가정용품,"취미,레저용품",골프용품
디케이아시아 : 왕길역 로열파크시티 푸르지오,2023-12-29,15.0,"건설,건재및부동산",부동산임대및매매,건물임대및매매
장스푸드 스텔라떡볶이 : 반복편 자막,2023-12-29,30.0,식품,식품기타,식품기타
장스푸드 60계치킨 : 하하핫치킨 A자막,2023-12-29,15.0,식품,축산품,치킨가공품
앰네스티 : 우크라이나,2023-12-29,60.0,관공서및단체,단체,외국단체
넷플릭스 : 레벨문 POST 신규,2023-12-29,15.0,서비스,문화및공연,문화및공연기타
디케이아시아 분양안내 : 로얄파크시티 푸르지오편,2023-12-29,30.0,"건설,건재및부동산",건설,건설
오케이저축은행 OK짠테크통장 : 딱이지 수정편,2023-12-28,15.0,"금융,보험및증권",금융및보험,금융및보험기타
코웨이 페블 : 페블에서안마중편,2023-12-28,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
케이티 KT AI : 풀스택편,2023-12-28,45.0,컴퓨터및정보통신,통신망,이동통신
코웨이 페블 : 디자인편,2023-12-28,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
우리금융지주 우리금융pr : 새 해편,2023-12-28,60.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR"
팬스타그룹 팬스타크루즈 : 출항편,2023-12-28,20.0,서비스,여행,여행알선
오케이저축은행 OK짠테크통장 : OK니까편,2023-12-28,30.0,"금융,보험및증권",금융및보험,금융및보험기타
이비에스미디어 을숙도 들락날락 : 해주세요편,2023-12-28,30.0,교육및복지후생,교육및복지후생기타,교육및복지후생기타
오케이저축은행 OK저축은행 : 저축은행에서편,2023-12-28,15.0,"금융,보험및증권",금융및보험,금융및보험기타
휴온스 양춘사 : 새해 다이어트는편,2023-12-28,15.0,식품,건강식품,다이어트식품
문화체육관광부 디지털 성범죄 근절 캠페인 : 처벌합니다편,2023-12-28,40.0,관공서및단체,중앙및지방관공서,중앙관공서
디케이아시아 왕길역로얄파크씨티 : 특별시 합본편,2023-12-28,30.0,"건설,건재및부동산",건설,건설
일우전자 따초리바핏 : 필수템편,2023-12-28,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
고려은단 비타민C1000 : 1등편,2023-12-28,30.0,식품,건강식품,건강보조식품
휴온스 양춘사 : 채수빈의 더블 컷편,2023-12-28,30.0,식품,건강식품,다이어트식품
SM그룹 경남아너스빌안성당왕 : 그랜드오픈편,2023-12-28,30.0,"건설,건재및부동산",건설,건설
열심히 모션필로우 : 쿨쿨편,2023-12-28,30.0,가정용품,가정용품기타,가정용품기타
한림제약 호르반 : 반하다편,2023-12-28,15.0,제약및의료,제약및의료기타,제약및의료기타
굿네이버스 인터내셔날 굿네이버스 후원 : 함께해주세요 메리편,2023-12-28,60.0,관공서및단체,단체,민간단체
세이브더칠드런코리아 세이브더칠드런 후원 : 선물해주세요편,2023-12-28,30.0,관공서및단체,단체,민간단체
코웨이 페블 안마의자 : 새롭게편,2023-12-28,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
디케이아시아 왕길역로얄파크씨티 : 시즌2편,2023-12-28,15.0,"건설,건재및부동산",건설,건설
문화체육관광부 디지털 성범죄 근절 캠페인 : 멈추세요편,2023-12-28,40.0,관공서및단체,관공서및단체기타,관공서및단체기업PR
MG금남새마을금고 기업PR : 금융동반자편,2023-12-28,20.0,"금융,보험및증권",금융및보험,은행
월트디즈니 위시 : 절찬상영중편,2023-12-28,15.0,서비스,서비스기타,서비스기타
"오뚜기 X.O.만두 : 엄마, 설편",2023-12-28,30.0,식품,대용식품,만두
우리금융지주 기업PR : 새해편,2023-12-28,30.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR"
봄소와광주점 봄소와 : 입주 공동구매 특별전편,2023-12-28,15.0,가정용품,가구류,가구류제품종합
이삼오구 웰릿 이뮨베라 : 맛있는 면역편,2023-12-28,15.0,식품,건강식품,건강식품기타
라이나생명 : 골라담는건강보험,2023-12-28,60.0,"금융,보험및증권",금융및보험,생명보험
DN솔루션즈 : 기업PR,2023-12-28,30.0,그룹및기업광고,그룹광고,그룹PR
한국에너지공단 : 에너지절약 캠페인,2023-12-28,40.0,관공서및단체,관공서및단체기타,관공서및단체기타
그래미 여명808 : 음주운전수정,2023-12-28,20.0,음료및기호식품,비알콜음료,차음료기타
호당원 프리미엄골드 : 김승수,2023-12-28,30.0,식품,건강식품,건강보조식품
비모뉴먼트 d'Alba : 더블로 완성되는 단 하나의 크림편,2023-12-28,45.0,화장품및보건용품,여성기초화장품,여성일반기초화장품
굿네이버스 인터내셔날 정기후원 : 메리편,2023-12-28,60.0,관공서및단체,단체,민간단체
코웨이 페블 : 안마의자를넘어릴랙스체어편,2023-12-28,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
오뚜기 오뚜기 X.O.만두 : 엄마_설편,2023-12-28,15.0,식품,대용식품,만두
이삼오구 웰릿 : 가족편,2023-12-28,15.0,식품,건강식품,건강식품기타
경주시청 2025에이팩 유치기원 : 완벽한 경주해편,2023-12-28,30.0,관공서및단체,중앙및지방관공서,지방자치단체
지앤지 전립선사군자 : 세가지를 한 알로편,2023-12-28,30.0,가정용전기전자,가사용전기전자,가사용전기전자기타
옥스팜코리아 정기후원 : 우크라이나어린이편,2023-12-28,60.0,관공서및단체,단체,단체기타
엔씨이 슈퍼미네랄칼슘플러스 : 전화상담편,2023-12-28,20.0,식품,건강식품,건강보조식품
관절보궁 : 기본편,2023-12-28,60.0,식품,건강식품,건강보조식품
브랜드 더이든가구백화점 : 1주년세일편,2023-12-27,20.0,가정용품,가구류,가구류제품종합
미미월드 포용메이커 :포장용기편,2023-12-27,15.0,가정용품,완구류,일반완구
호텔스컴바인드코리아 : 컴바인싸편,2023-12-27,15.0,서비스,음식및숙박,음식및숙박기타
현대자동차 그룹PR : 카운트다운편,2023-12-27,30.0,그룹및기업광고,그룹광고,그룹PR
자코모 : 변함없는 1등 소파편,2023-12-27,30.0,가정용품,가구류,가정용가구
내서농업협동조합하나로마트 : 서창원 농협편,2023-12-27,20.0,유통,대형유통,대형유통제품종합
월트디즈니 위시 : 1월 극장 대개봉편,2023-12-27,30.0,서비스,서비스기타,서비스기타
콜핑 콜핑 구스다운 아이벨 : 겨울편,2023-12-27,15.0,패션,캐주얼의류,방한의류
삼성전자 갤럭시 북4 : 학생편,2023-12-27,30.0,컴퓨터및정보통신,컴퓨터,노트북PC
메가스터디교육  메가패스 : 내가 공부하는 이유편,2023-12-27,30.0,교육및복지후생,교육기관,온라인교육
다이슨코리아 다이슨 에어스트레이트 : 빠르고 자연스러운 데일리 스타일,2023-12-27,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
문화체육관광부 디지털 성범죄 근절 캠페인 : 멈추세요편,2023-12-27,40.0,관공서및단체,중앙및지방관공서,중앙관공서
문화체육관광부 디지털 성범죄 근절 캠페인 : 멈추세요편,2023-12-27,40.0,관공서및단체,중앙및지방관공서,중앙관공서
디티비코리아 유엔난민기구 후원 : 우크라아니 긴급겨울구호요청편,2023-12-27,60.0,관공서및단체,단체,민간단체
세이브더칠드런 식사지원 : 소영이편,2023-12-27,60.0,관공서및단체,단체,민간단체
삼성전자 갤럭시 북4 : 프리랜서편,2023-12-27,30.0,컴퓨터및정보통신,컴퓨터,노트북PC
한국언론진흥재단 약자복지 정책광고 : 복지의 힘을편,2023-12-27,40.0,관공서및단체,중앙및지방관공서,중앙및지방관공서기타
자코모 : 1등 소파편,2023-12-27,15.0,가정용품,가구류,가정용가구
코웰메디임플란트 : 2안,2023-12-27,15.0,제약및의료,의료기기,의료기기기타
보람컨벤션 예식장 : 리포터편,2023-12-27,20.0,서비스,개인서비스,결혼예식업
임실엔치즈 : 20초,2023-12-27,20.0,식품,유제품,분유
약자복지 정책광고 : 20초,2023-12-27,20.0,관공서및단체,중앙및지방관공서,중앙및지방관공서기타
다이슨 스트레이트너 : 에어스트레이트 지수,2023-12-27,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타
우리금융그룹 : 새해편,2023-12-27,60.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR"
코웰메디임플란트 : 1안,2023-12-27,15.0,제약및의료,의료기기,의료기기기타
굿네이버스 후원 : 메리편 60초,2023-12-26,60.0,관공서및단체,단체,민간단체
코카콜라 제로 : 맛있는걸선택해,2023-12-26,15.0,음료및기호식품,비알콜음료,기능성건강음료
지온메디텍 듀얼소닉 맥스 : 깊이의 차이편,2023-12-26,30.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타
63빌딩 아쿠아플라넷 : 겨울캠페인,2023-12-26,20.0,서비스,서비스기타,서비스기타
셀로닉스 셀티아이 : 아이편,2023-12-26,15.0,식품,건강식품,건강식품제품종합
농협홍삼 한삼인 : 설명절프로모션편,2023-12-26,15.0,식품,건강식품,건강식품기타
코웨이 안마베드 : 안마의 혁신편,2023-12-26,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자제품종합
포르쉐코리아 Taycan : 전율편,2023-12-26,15.0,수송기기,승용자동차,친환경승용자동차
굿네이버스 후원 : 메리편 90초,2023-12-26,90.0,관공서및단체,단체,민간단체
현대자동차 기업PR : 카운트다운편,2023-12-26,60.0,그룹및기업광고,그룹광고,그룹PR
지온메디텍 듀얼소닉맥스 : 깊이의 차이편,2023-12-26,15.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타
타이어뱅크 타이어 바꿀 때 : 전품목3+1 프로모션편,2023-12-26,15.0,유통,대형유통,할인양판점
지온메디텍 듀얼소닉 : 깊이의 차이편,2023-12-26,30.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타
농협홍삼 한삼인 : 설명절프로모션편,2023-12-26,30.0,식품,건강식품,건강식품기타
레고코리아 레고 프렌즈 : 쇼핑몰편,2023-12-26,15.0,가정용품,완구류,"조립,모형완구"
타이어뱅크 타이어 바꿀 때 : 전품목3+1 프로모션편,2023-12-26,15.0,유통,대형유통,할인양판점
케이티 KT AI : 꼭맞춤편,2023-12-26,45.0,컴퓨터및정보통신,통신망,이동통신
다보네가구 : 스캐일편,2023-12-26,20.0,가정용품,가구류,가구류제품종합
현대자동차 : 카운트다운 JTBC편,2023-12-26,30.0,그룹및기업광고,그룹광고,그룹PR
레고코리아 레고 프렌즈 쇼핑몰 : 놀러와편,2023-12-26,15.0,가정용품,완구류,"조립,모형완구"
군산필스 : 여자행복세일편,2023-12-26,20.0,패션,정장의류,모피가죽의류
부산대학교 부산공유대학 : 혁신하다편,2023-12-26,20.0,교육및복지후생,교육기관,대학대학원
한국오츠카제약 우르오스 올인원 : 관상 그린윈도우편,2023-12-26,15.0,화장품및보건용품,남성화장품,남성기초화장품
현대자동차 : 카운트다운 SBS편,2023-12-26,30.0,그룹및기업광고,그룹광고,그룹PR
삼성전자 2024 삼세페 : 대가족편,2023-12-26,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
삼성전자 2024 삼세페 : 종합편,2023-12-26,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
삼성전자 2024 삼세페 : 신혼부부편,2023-12-26,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
지온메디텍 듀얼소닉프로 :  깊이의 차이편,2023-12-26,15.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타
삼성전자 삼세페 : 직장인편,2023-12-26,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
현대자동차 : 카운트다운 KM편,2023-12-26,30.0,그룹및기업광고,그룹광고,그룹PR
코웨이 비렉스 안마베드 : 직접 체험해보세요편,2023-12-26,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자제품종합
지온메디텍 듀얼소닉 : 차이편,2023-12-26,60.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타
오에스피 인디고 브랜드캠페인 : 이준호편,2023-12-22,15.0,식품,식품기타,식품기타
넷플릭스 예능 : 죽어도선덜랜드편,2023-12-22,15.0,서비스,문화및공연,문화및공연기타
"월트디즈니 위시 : 리뷰, 1월 극장 대개봉편",2023-12-22,15.0,서비스,서비스기타,서비스기타
지온메디텍 듀얼소닉프로 : 숨길 수 없는 자신감편,2023-12-22,15.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타
"오뚜기 X.O.만두 : 엄마, 설편",2023-12-22,15.0,식품,대용식품,만두
포르쉐 타이칸 : 지금 당신을 전율시키는 단 하나편,2023-12-22,15.0,수송기기,수입자동차,수입승용차
아르떼미디어 폐점상품정리 : 울산 구 네파자리편,2023-12-22,30.0,유통,유통기타,유통기타
영동군청 영동곶감 : 곧 갑니다편,2023-12-22,20.0,관공서및단체,중앙및지방관공서,지방자치단체
삼성전자 삼세페 : 하나만편,2023-12-22,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
토이트론 듀얼블레이드 슈퍼건 : 스타디움배틀세트편,2023-12-22,15.0,가정용품,완구류,일반완구
"오뚜기 X.O.만두 : 엄마, 설편",2023-12-22,30.0,식품,대용식품,만두
신영증권 신탁서비스 : 전문가팀편,2023-12-22,15.0,"금융,보험및증권",주식및유가증권,주식증권
주영엔에스 뼈엔MBP : 단단하게편 8초,2023-12-22,8.0,식품,건강식품,건강보조식품
반려동물 장례식장 : 아리움,2023-12-22,20.0,서비스,개인서비스,경조서비스
셀로닉스 셀티아이 키즈 : 응가편,2023-12-22,30.0,식품,건강식품,건강식품제품종합
"노랑푸드 노랑통닭 : 열불 품은 3종 치킨, 티저편",2023-12-22,15.0,식품,식품기타,식품기타
우리자산신탁 구미인동 하늘채 디어반2차 : 선착순 동.호 지정계약편,2023-12-22,30.0,"건설,건재및부동산",부동산임대및매매,아파트임대및매매
한국파파존스 파파존스 피자 : 아메리칸 프리미엄 피자편,2023-12-22,15.0,식품,식품기타,식품기업PR
넷플릭스 예능 : 미래일기편,2023-12-22,15.0,서비스,문화및공연,문화및공연기타
삼성전자 2024 삼세페 : 일단 하나 더 삼세페편,2023-12-22,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
넷플릭스 : 셀링선셋,2023-12-22,15.0,서비스,문화및공연,문화및공연기타
디즈니 애니메이션 : WISH,2023-12-22,30.0,서비스,서비스기타,서비스기타
지온메디텍 듀얼소닉 : 맥스 온에어,2023-12-22,15.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타
삼성스마트폰 : 갤럭시Z플립5,2023-12-22,30.0,컴퓨터및정보통신,통신기기,휴대폰
신영증권 신탁서비스 : 런칭편,2023-12-22,30.0,"금융,보험및증권",주식및유가증권,주식증권
신영증권 신탁서비스 : 인센티브B,2023-12-22,15.0,"금융,보험및증권",주식및유가증권,주식증권
관절보궁 : 나와의대화,2023-12-22,60.0,식품,건강식품,건강보조식품
삼성전자 삼세페 : 놓치고편,2023-12-22,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
코웨이 안마베드 : 체험해보세요 홈체험편,2023-12-22,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자제품종합
영동군청 영동곶감 : 안녕 친구들편,2023-12-22,20.0,관공서및단체,중앙및지방관공서,지방자치단체
삼성전자 삼세페 : 기다려편,2023-12-22,30.0,가정용전기전자,가정용전기전자기타,가정용전기전자기업PR
강릉과학산업진흥원 강릉 메타버스 체험관 : 초대합니다편,2023-12-22,30.0,관공서및단체,관공서및단체기타,관공서및단체기타
넥슨코리아 메이플스토리 : DREAMER편,2023-12-21,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임
넷플릭스서비시스코리아 요즘 넷플 뭐 봄 : 1월 라인업편,2023-12-21,30.0,서비스,문화및공연,문화및공연기타
종근당건강 캔서코치 : 코치 받자편,2023-12-21,15.0,식품,식품기타,식품기타
코스알엑스 The RX : 눈부시게 만들다편,2023-12-21,30.0,화장품및보건용품,여성기초화장품,여성일반기초화장품
알프스마을영농조합법인 칠갑산 얼음분수축제 : 제16회편,2023-12-21,20.0,서비스,문화및공연,지역 및 문화축제
지온메디텍 듀얼소닉 : 깊이의 차이편,2023-12-21,60.0,화장품및보건용품,화장품및보건용품기타,화장품및보건용품기타
넷플릭스서비시스코리아 요즘 넷플 뭐 봄 : 1월 라인업편,2023-12-21,15.0,서비스,문화및공연,문화및공연기타
국립중앙의료원 닥터헬기 : 가능을 만드는 생명의 날개편,2023-12-21,30.0,제약및의료,의료및보건기관,의료및보건기관기타
