광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,mid_cluster,major_cluster
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,30.0,교육및복지후생,복지후생기관,복지후생기관제품종합,51,E
사회복지공동모금회 사랑의열매 : 폼나는 나눔 플랫폼편,2024-07-30,15.0,교육및복지후생,복지후생기관,복지후생기관제품종합,51,E
링티 링티 : 택배편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
링티 링티 : 풋살편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
경기도교육청 공유학교 : 우리의 길편,2024-07-30,40.0,관공서및단체,중앙및지방관공서,중앙및지방관공서기타,117,D
한국전력 에너지 절약 캠페인 : 지구를 살리는 에센스편,2024-07-30,40.0,관공서및단체,단체,공공단체,36,D
한국타이어앤테크놀로지 티스테이션 : 무상점검 서비스편,2024-07-30,15.0,화학공업,고무및플라스틱,타이어,15,U
케이티 KT 로밍 : 떠나자 3GB편,2024-07-30,15.0,컴퓨터및정보통신,통신망,이동통신,130,R
링티 : 고깃집편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
링티 : 수험생편,2024-07-30,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
인터브랜드 라이나 : 스쳐가는 일상편,2024-07-30,15.0,"금융,보험및증권",금융및보험,금융및보험제품종합,24,G
한국타이어 iON : 글로리어스모멘트편,2024-07-29,15.0,화학공업,고무및플라스틱,타이어,15,U
월트디즈니컴퍼니코리아 개봉안내 : 에이리언 HeartAlpha편,2024-07-29,30.0,서비스,문화및공연,영화,44,J
넷플릭스서비시스코리아 넷플릭스 : 8월 넷플 뭐 봄편,2024-07-29,15.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,127,R
장스푸드 크랑이치킨 : 노부부편,2024-07-29,30.0,식품,식품기타,식품기타,74,L
월드비전 G6K : 달려보면 알거야편,2024-07-29,15.0,관공서및단체,관공서및단체기타,관공서및단체기타,16,D
제주항공 PR : 가자 우리에겐 J가 있다 일본편,2024-07-29,15.0,수송기기,항공수송기기,항공기,135,K
하이모 PR : 당당하게 앞을 향해편,2024-07-29,30.0,화장품및보건용품,화장도구,가발류,136,T
월드비전 G6K : 달려보면 알거야편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기타,16,D
제주항공 PR : 가자 우리에겐 J가 있다 발리편,2024-07-29,15.0,수송기기,항공수송기기,항공기,135,K
장스푸드 크크크치킨 : 바삭함의 끝판왕편,2024-07-29,15.0,식품,식품기타,식품기타,74,L
파나소닉코리아 파나소닉 안마의자 MAN1 : 경험하지 못 한 절대 휴식편,2024-07-29,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,5,A
충청남도청 여행안내 : 충남의바다편,2024-07-29,30.0,관공서및단체,중앙및지방관공서,지방자치단체,117,D
폴스타오토모티브코리아 Polestar 4 : 별편,2024-07-29,30.0,수송기기,수입자동차,수입승용차,67,K
데일리앤코 몽제 : 허리가 편안한 매트리스편,2024-07-29,15.0,가정용품,가구류,침대,0,B
제주항공 : 띄웁니다 일본발리편,2024-07-29,30.0,수송기기,항공수송기기,항공기,135,K
홈플러스 썸머 홈플런 : 24년 2차편,2024-07-29,15.0,유통,대형유통,대형유통제품종합,39,M
굿네이버스인터내셔날 굿네이버스 후원 : 고려인편,2024-07-29,60.0,관공서및단체,단체,민간단체,36,D
하이모 : 극복 체험이벤트편,2024-07-29,15.0,화장품및보건용품,화장도구,가발류,136,T
명륜당 명륜진사갈비 : 마법편,2024-07-29,15.0,서비스,음식및숙박,대중음식점,96,J
비케이알 버거킹 콰트로치즈 비프라구와퍼 : 더 맛있더라구편,2024-07-29,15.0,식품,제빵,"햄버거,피자및샌드위치",108,L
월트디즈니컴퍼니코리아 에이리언 로물루스 : 대개봉 HeartAlpha편,2024-07-29,15.0,서비스,문화및공연,영화,44,J
폴스타오토모티브코리아 Polestar 4 : 아이돈노우편,2024-07-29,15.0,수송기기,수입자동차,수입승용차,67,K
장스푸드 크랑이치킨 : 잔다편,2024-07-29,30.0,식품,식품기타,식품기타,74,L
미미월드 스마트 타요 빅매트 : 성공편,2024-07-29,15.0,유통,"소형,소매유통","소형,소매유통제품종합",62,M
아카데미과학 비기즈 : 왔어요편,2024-07-29,15.0,가정용품,완구류,일반완구,86,B
홈플러스 썸머 홈플런 : 24년편,2024-07-29,15.0,유통,대형유통,대형유통제품종합,39,M
제주항공 : 띄웁니다 일본발리편,2024-07-29,30.0,수송기기,항공수송기기,항공기,135,K
한서대학교 : 아닙니다편,2024-07-29,15.0,교육및복지후생,교육기관,대학대학원,18,E
당코리테일러 당코리 테일러 : 100년 기업편,2024-07-29,20.0,패션,정장의류,신사정장,106,S
월드비전 G6K : 글로벌 6K와 함께 달려주세요편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기타,16,D
월드비전 G6K : 글로벌 6K와 함께 달려주세요편,2024-07-29,15.0,관공서및단체,관공서및단체기타,관공서및단체기타,16,D
월드비전 G6K : 글로벌 6K와 함께 달려주세요편,2024-07-29,15.0,관공서및단체,관공서및단체기타,관공서및단체기타,16,D
넷플릭스 : 8월 넷플뭐봄편,2024-07-29,30.0,컴퓨터및정보통신,컴퓨터및정보통신기타,컴퓨터및정보통신기타,127,R
라이온코리아 비트캡슐 울트라콤팩트 : 종합편,2024-07-29,15.0,화장품및보건용품,세제류,세탁세제,61,T
올랜드울산점 : 썸머위크 여름정기세일편,2024-07-29,20.0,유통,유통기타,유통기타,94,M
에스앤씨세인 더벤티 : 저당편,2024-07-29,15.0,음료및기호식품,음료및기호식품기타,음료및기호식품기타,95,N
비알코리아 배스킨라빈스 : 8월 이달의 맛편,2024-07-29,15.0,식품,아이스크림,아이스크림제품종합,77,L
충청북도청 영동국악엑스포 : 행사안내편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,16,D
올랜드창원경남점 : 썸머위크 여름정기세일편,2024-07-29,20.0,유통,유통기타,유통기타,94,M
보람상조 보람상조피플  스마트 299 : 환급편,2024-07-29,60.0,서비스,개인서비스,개인서비스기타,9,J
장스푸드 60계 치킨 : 크랑이치킨편,2024-07-29,30.0,식품,식품기타,식품기타,74,L
월드비전 G6K : 글로벌 6K와 함께 달려주세요편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기타,16,D
경남대학교 수시 모집 : 강력한 힘편,2024-07-29,20.0,교육및복지후생,교육기관,교육기관기타,18,E
경상북도청 경북 관광 : 지금!여기! 경상북도편,2024-07-29,30.0,관공서및단체,관공서및단체기타,관공서및단체기업PR,16,D
닥터블릿헬스케어 푸응 나이트버닝 프로 : 푸응 페스타편,2024-07-26,15.0,식품,건강식품,다이어트식품,10,L
엘지전자 PR : 공간 미래 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,21,F
롯데컬처웍스 상영 안내 : 파일럿편,2024-07-26,15.0,서비스,문화및공연,영화,44,J
코웨이 : 얼음정수기 고객만족도 수상 자막,2024-07-26,15.0,가정용전기전자,주방용전기전자,주방용전기전자기타,113,A
헨켈홈케어코리아 브레프 디럭스 퍼퓸클리닝 : 향수보다 나은 솔루션편,2024-07-26,15.0,화장품및보건용품,세제류,세척제,61,T
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-26,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료",53,N
소상공인방송정보원 카드형 온누리상품권 : 대한민국행복충전편,2024-07-26,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기타",23,G
유니세프 출발점 : 이상우편,2024-07-26,60.0,관공서및단체,단체,민간단체,36,D
씨앤조이 체프리스커피 : 커피의 궁극적 진화편,2024-07-26,15.0,음료및기호식품,비알콜음료,"커피,코코아음료",53,N
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,21,F
에스케이텔레콤 SKT GTAA : AI로 대한민국을 새롭게 하는 힘편,2024-07-26,60.0,컴퓨터및정보통신,통신망,이동통신,130,R
엘지전자 SMART LIFE SOLUTION : 공간 미래를 연결하다편,2024-07-26,30.0,그룹및기업광고,그룹광고,그룹PR,21,F
코웨이 icon 얼음 정수기 : 종합편,2024-07-26,15.0,가정용전기전자,주방용전기전자,주방용전기전자기타,113,A
아쿠아플라넷 키즈존 일산 : SUN넘는 즐거움편,2024-07-26,30.0,서비스,스포츠및오락시설,공원및테마파크,69,J
"월트디즈니컴퍼니코리아 스트리밍 : 폭군, 노웨이편",2024-07-26,15.0,서비스,서비스기타,서비스기타,58,J
