행 번호,광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,광고주명,광고회사명,광고제작사,AISAC_URL,실제재생초수
33131,한국피앤지판매 페브리즈 : 내추리스 라벤터편,2020-09-25,15.0,가정용품,방취및방균제,방취및방향제,한국피앤지판매 유한회사,그룹엠코리아 주식회사,(주)아스트로보이픽쳐스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794660F02_1-20-TH-09-456,30.03
33132,대한민국 홈쇼핑 반출명품대전,2020-09-25,30.0,기초재,농축수산기초재,종묘,아르떼 미디어,(주)서현애드,프로덕션 모던,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/796232F02_1-20-TH-11-068,30.03
33133,카카오게임즈_가디언테일즈_30,2020-09-25,30.0,컴퓨터및정보통신,컴퓨터게임,온라인게임,(주)카카오게임즈,(주)농심기획,농심기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794634F02_1-20-TJ-09-073,30.03
33134,한돈 : 한돈 다릿살편_15,2020-09-25,15.0,식품,축산품,축산품기타,한돈자조금관리위원회,(주)케이이씨씨,버프프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794715F02_1-20-TJ-09-168,15.02
33135,가디언 테일즈_이게 진짜 게임이지,2020-09-25,30.0,컴퓨터및정보통신,컴퓨터게임,온라인게임,(주)카카오게임즈,(주)농심기획,농심기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794633F02_1-20-TJ-09-024,30.03
33136,"농업협동조합중앙회 2020 NH농협그룹PR : 초협력, 유통편",2020-09-24,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",농업협동조합중앙회,중앙유엠에스,중앙유엠에스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/795345F02_1-20-TH-10-393,15.02
33137,삼성 갤럭시 노트20 : 쓰고 그리며 내가 가장 힐링되는 세상편_15,2020-09-24,15.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,매스메스에이지,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794611F02_1-20-TJ-09-119,15.02
33138,영주시청 : 2020 온라인 풍기인삼축제편,2020-09-24,30.0,관공서및단체,중앙및지방관공서,지방자치단체,영주시청,한국언론진흥재단,조은영상,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794593F02_1-20-TH-09-848,30.03
33139,K2 비숑 플리스다운_나의 첫번째 플리스다운,2020-09-24,15.0,가정용품,"취미,레저용품",등산용품,케이투코리아(주),(주)에이치에스애드,(주)꾸욱꾸욱,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794570F02_1-20-TJ-09-039,15.02
33140,네이버시리즈_60,2020-09-24,60.0,컴퓨터및정보통신,통신정보서비스,인터넷서비스,네이버웹툰 주식회사,(주)에이치에스애드,엘리먼트픽쳐스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794595F02_1-20-TJ-09-081,60.06
33141,삼성 갤럭시 노트20 : 내가 가장 프로페셔널해지는 세상편_15,2020-09-24,15.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,매스메스에이지,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794613F02_1-20-TJ-09-120,15.02
33142,에버콜라겐_기능성 인정_15,2020-09-24,15.0,식품,건강식품,건강보조식품,(주)뉴트리,(주)이노션,플랜잇,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794572F02_1-20-TJ-09-067,15.02
33143,SK텔레콤 V컬러링_서장훈의 잔소링,2020-09-24,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794559F02_1-20-TJ-09-031,30.03
33144,BMW THE 5_Lead the change_15,2020-09-24,15.0,수송기기,수입자동차,수입자동차제품종합,비엠더블유코리아(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)하바스코리아,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794585F02_1-20-TJ-09-060,15.02
33145,블링크,2020-09-24,15.0,가정용품,가정용인테리어,침구류및솜,주식회사 블링크프로젝트,직거래,블링크프로젝트,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/830057H01_1_22-TH-09-125,15.02
33146,네이버시리즈_30,2020-09-24,30.0,컴퓨터및정보통신,통신정보서비스,인터넷서비스,네이버웹툰 주식회사,(주)에이치에스애드,엘리먼트픽쳐스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794589F02_1-20-TJ-09-080,30.03
33147,농업협동조합중앙회 2020 NH농협그룹PR : 초협력편,2020-09-24,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",농업협동조합중앙회,중앙유엠에스,중앙유엠에스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/795341F02_1-20-TH-10-394,15.02
33148,스케쳐스코리아 스케쳐즈 키즈 : 플립 킥스편,2020-09-24,15.0,패션,신발류,아동화,주식회사 스케쳐스코리아,(주)디렉터스컴퍼니,디렉터스컴퍼니,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794603F02_1-20-TH-09-084,15.02
33149,네이버시리즈_30,2020-09-24,30.0,컴퓨터및정보통신,통신정보서비스,인터넷서비스,네이버웹툰 주식회사,(주)에이치에스애드,엘리먼트픽쳐스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794589F02_1-20-TJ-09-080,30.03
33150,"농업협동조합중앙회 2020 NH농협그룹PR : 초협력, 농업편",2020-09-24,15.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",농업협동조합중앙회,중앙유엠에스,중앙유엠에스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794536F02_1-20-TH-09-989,15.02
33151,귀뚜라미 거꾸로 콘덴싱 프리미엄_보일러 기술 50년,2020-09-24,15.0,가정용품,난방기기,보일러,귀뚜라미냉난방기술연구소,(주)제일기획,제일기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794539F02_1-20-TJ-09-020,15.02
33152,대원제약 콜대원 : 파란색편,2020-09-24,15.0,제약및의료,감기약,종합감기약,대원제약(주),(주)애드리치,핫썸머데이,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794778F02_1-20-TH-09-958,15.02
33153,대원제약 콜대원 : 빨간색편,2020-09-24,15.0,제약및의료,감기약,종합감기약,대원제약(주),(주)애드리치,핫썸머데이,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794776F02_1-20-TH-09-959,15.02
33154,넷플릭스_보건교사 안은영_15,2020-09-24,15.0,서비스,문화및공연,영화,넷플릭스서비시스코리아(유),(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794605F02_1-20-TJ-09-108,15.02
33155,KT 넷플릭스_[쓰임새 있게] 심심한 당신에게_15,2020-09-24,15.0,컴퓨터및정보통신,통신망,이동통신,(주)케이티,(주)제일기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794580F02_1-20-TJ-09-068,15.02
33156,보건교사 안은영,2020-09-24,30.0,서비스,문화및공연,영화,넷플릭스서비시스코리아(유),(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794605F02_1-20-TJ-09-108,15.02
33157,넷플릭스_보건교사 안은영_15,2020-09-24,15.0,서비스,문화및공연,영화,넷플릭스서비시스코리아(유),(주)대홍기획,대홍기획,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794605F02_1-20-TJ-09-108,15.02
33158,금산군청 : 2020 온라인 금산인삼축제편,2020-09-24,20.0,관공서및단체,중앙및지방관공서,지방자치단체,금산군청,한국언론진흥재단,(주)제이엔프로,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794583F02_1-20-TH-09-580,20.02
33159,DB손해보험_운전자보험_30,2020-09-24,30.0,"금융,보험및증권",금융및보험,손해보험,디비손해보험 주식회사,(주)오리콤,(주)필름퍼플레인,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794617F02_1-20-TJ-09-099,30.03
33160,네이버 나우_오디오쇼 박나래,2020-09-24,30.0,컴퓨터및정보통신,통신정보서비스,인터넷서비스,네이버 주식회사,(주)대홍기획,포스트비쥬얼,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794552F02_1-20-TJ-09-036,30.03
33161,극장판 미니특공대_햄버거괴물의 습격_15,2020-09-24,15.0,서비스,문화및공연,영화,(주)리틀빅픽쳐스,주식회사 즐거운인생열시십분사십초,찰스프로덕션,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794587F02_1-20-TJ-09-074,15.02
33162,SK텔레콤 V컬러링_서장훈의 응원링,2020-09-24,15.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794560F02_1-20-TJ-09-033,15.02
33163,삼성 갤럭시 노트20 : 내가 가장 프로페셔널해지는 세상편_15,2020-09-24,15.0,컴퓨터및정보통신,통신기기,휴대폰,삼성전자(주),(주)제일기획,러브앤드머니,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794613F02_1-20-TJ-09-120,15.02
33164,SK텔레콤 V컬러링_서장훈의 추석링,2020-09-24,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794555F02_1-20-TJ-09-034,30.03
33165,DB손해보험_운전자보험_15,2020-09-24,15.0,"금융,보험및증권",금융및보험,손해보험,디비손해보험 주식회사,(주)오리콤,(주)필름퍼플레인,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794616F02_1-20-TJ-09-098,15.02
33166,에버콜라겐_기능성 인정_15,2020-09-24,15.0,식품,건강식품,건강보조식품,(주)뉴트리,(주)이노션,플랜잇,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794572F02_1-20-TJ-09-067,15.02
33167,대원제약 콜대원 키즈 : 짜라편,2020-09-24,15.0,제약및의료,감기약,종합감기약,대원제약(주),(주)애드리치,핫썸머데이,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794777F02_1-20-TH-09-960,15.02
33168,SK텔레콤 V컬러링_서장훈의 응원링,2020-09-24,30.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794560F02_1-20-TJ-09-033,15.02
33169,SK텔레콤 V컬러링_서장훈의 추석링,2020-09-24,15.0,컴퓨터및정보통신,통신망,이동통신,에스케이텔레콤(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)에스엠컬처앤콘텐츠 광고사업부문,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794555F02_1-20-TJ-09-034,30.03
33170,기장군청 기장 먹거리 홍보 : 응원합니다편,2020-09-24,30.0,관공서및단체,중앙및지방관공서,지방자치단체,부산광역시기장군청,한국언론진흥재단,애드맥스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794579F02_1-20-TH-09-977,30.03
33171,전주비전대학교_신입생모집 수시1차,2020-09-24,10.0,그룹및기업광고,기타광고,기타기업기타,미디어리버티,(주)미디어맥스,(주)미디어맥스,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794591F02_1-20-TM-09-056,10.01
33172,BMW THE 5_Lead the change_30,2020-09-24,30.0,수송기기,수입자동차,수입자동차제품종합,비엠더블유코리아(주),(주)에스엠컬처앤콘텐츠 광고사업부문,(주)하바스코리아,https://aisac.kobaco.co.kr/site/main/advideo/video/uu/794584F02_1-20-TJ-09-059,30.03
